nazev_zastavky;poslední_zastavka;zpozdeni;linka
Most,Severografia;Most,Dopravní podnik;0.333333333;40
18.ZŠ;Sukova,blok 558;0.333333333;53
Kino Kosmos;Dům peněžnictví;0.333333333;53
Sukova,blok 558;Krym;0.333333333;53
Osek,autokempink;Osek,náměstí;0.333333333;60
Litvínov,Bílý sloup;Litvínov,požární stanice;0.333333333;60
Litvínov,Janáčkova;Hamr,škola;0.333333333;60
Litvínov,sportovní škola;Litvínov,Citadela;0.333333333;60
Černice, mlékárna;Černice;0.338461538;14
H.Jiřetín,požární zbrojnice;H.Jiřetín,rozcestí;0.339449541;14
1.náměstí;Obchodní dům PRIOR;0.339849624;30
Souš,Tvrzova;Souš,Národního odboje;0.340425532;12
Litvínov,Citadela;Litvínov,sportovní škola;0.341935484;13
1.náměstí;Čs.mládeže;0.346153846;31
Sukova,blok 508;Sukova,blok 501;0.352;5
Chanov,otočka;Obrnice,koupaliště;0.355555556;10
Vodárna;Kahan;0.362068966;5
Hamr,škola;Hamr,sídliště;0.36318408;13
Rudolice,rozcestí;Rudolice,u mostu;0.363636364;10
Horní Lom;Loučná;0.363636364;13
Lom,Horní Lom,rozcestí;Loučná;0.363636364;13
Litvínov,Krušnohor;Litvínov,požární stanice;0.363636364;15
Benedikt;Zázvorová;0.366666667;5
Komořany,tábor 7;Komořany;0.366666667;12
Obchodní dům PRIOR;1.náměstí;0.369294606;17
Krym;Pod Lajsníkem;0.374045802;20
Krym;Sukova,blok 558;0.374655647;30
Janov,pekárny;Janov;0.375;14
Komořany,tábor 7;Komořany,KSK;0.378378378;12
Pod Lajsníkem;Krym;0.378378378;20
Nádraží;Rudolická,MUS;0.37962963;22
Čs.armády;Sportovní hala;0.381818182;17
J.Skupy;Nemocnice;0.384030418;30
Litvínov,u dílen;Litvínov,stadion;0.384615385;1
Most,Souš;Most,zimní stadion;0.384615385;4
Lom,Geologický průzkum;Lom,Horní Lom,rozcestí;0.384615385;13
Most,TESCO;Most,zimní stadion;0.38647343;2
Most,obchodní dům PRIOR;Most,sportovní hala;0.388059701;2
Rudolická,MUS;Nádraží;0.388349515;22
Kahan;Aquadrom;0.388888889;18
Speciální škola;14.ZŠ;0.389380531;17
Dům peněžnictví;Speciální škola;0.39047619;17
Rudolická,MUS;Pod Lajsníkem;0.391304348;5
Litvínov,obchodní dům;Litvínov,poliklinika;0.399371069;4
Most,zimní stadion;Most,sportovní hala;0.4;1
Litvínov,u dílen;Litvínov,Citadela;0.4;1
Hamr,škola;Hamr,sídliště;0.4;14
Litvínov,Šumná;Litvínov,Šumná,průmyslový areál;0.4;27
Litvínov,Technické služby;Litvínov,stadion;0.4;40
18.ZŠ;Vodárna;0.402061856;5
Halasova;1.náměstí;0.402985075;16
Litvínov,Báňské stavby;Záluží,areál Hlubina;0.403141361;4
Okresní soud;Obchodní dům PRIOR;0.403846154;22
Nádraží;Rudolická,MUS;0.404040404;30
Obrnice,škola;Obrnice,sídliště;0.404761905;10
Hamr,škola;Hamr,sídliště;0.409448819;13
Obchodní dům PRIOR;J.Skupy;0.410526316;22
Litvínov,Šumná,průmyslový areál;Litvínov,Šumná;0.411764706;27
Litvínov,Partyzán;Meziboří,městský úřad;0.412140575;23
Záluží,Petrochemie;Záluží,areál Hlubina;0.413043478;1
Havraň,škola;Havraň;0.413793103;31
Krym;Sukova,blok 501;0.417266187;5
Záluží,Důl Julius IV;Záluží,Zdravotní středisko;0.418367347;4
Krym;Pod Lajsníkem;0.418918919;5
Obchodní dům PRIOR;1.náměstí;0.421836228;30
Obrnice,koupaliště;Chanov,otočka;0.426229508;10
J.Skupy;Obchodní dům PRIOR;0.426470588;12
Most,Dopravní podnik;Most,Severografia;0.428571429;2
Kahan;Zd.Štěpánka;0.428571429;12
H.Jiřetín,pekařství;H.Jiřetín,pošta;0.428571429;14
Most,obchodní dům PRIOR;Most,1. náměstí;0.428571429;40
Litvínov,Máj;Litvínov,Máj,věžové domy;0.428571429;60
Velebudice,rozcestí;Dopravní podnik;0.429447853;9
Autodrom;Pod Resslem;0.431818182;12
Nové krematorium;Za Krematoriem;0.433628319;16
Most,Severografia;Most,Dopravní podnik;0.435483871;2
Záluží,Petrochemie;Záluží,areál Hlubina;0.444444444;3
Obchodní dům PRIOR;J.Skupy;0.445205479;17
Hamr,sídliště;Hamr;0.448818898;13
Most,Dopravní podnik;Zd.Štěpánka;0.45;17
Dům peněžnictví;Obchodní dům PRIOR;0.450704225;17
1.ZŠ;Luna;0.452054795;30
Okresní soud;Sukova,blok 508;0.457364341;5
Obchodní dům PRIOR;1.náměstí;0.459459459;16
Havraň;Nemilkov,rozcestí;0.461538462;31
Osek,autokempink;Osek,náměstí;0.463414634;13
Lom,škola;Lom,Geologický průzkum;0.465517241;13
Loučná,konečná;Loučná;0.469135802;13
Obchodní dům PRIOR;Okresní soud;0.471910112;12
Souš,Finské domky;Souš,Národního odboje;0.483870968;22
1.ZŠ;Luna;0.484848485;12
Most,rozcestí Kopisty;Most,sídliště ČD;0.485981308;4
Jezero Most;Kostelní hřbitov;0.486486486;16
Lom,škola;Lom,Červený kříž;0.487804878;13
Obrnice,koupaliště;České Zlatníky;0.488636364;10
J.Skupy;Obchodní dům PRIOR;0.490196078;12
Dopravní podnik;Zd.Štěpánka;0.49068323;17
Záluží,areál Hlubina;Záluží,Petrochemie;0.5;1
Litvínov,poliklinika;Litvínov,obchodní dům;0.5;3
Komořany,hradlo;Komořany,Nejedlý I;0.5;12
Komořany,DUK;Třebušice,DTS Vrbenský;0.5;12
Litvínov,nádraží;Litvínov,náměstí Míru;0.5;15
TESCO;Zimní stadion;0.5;16
Hamr;Janov,pekárny;0.5;21
Záluží,CHEMOPETROL;Záluží,Petrochemie;0.5;21
Autodrom;Souš,Tvrzova;0.5;22
Benedikt;Obrnice,odb.Vtelno;0.5;25
Litvínov,nádraží;Litvínov,Báňské stavby;0.5;40
Most,sídliště ČD;Most,rozcestí Kopisty;0.5;40
Most,Chomutovská;Most,sportovní hala;0.5;40
Osek,náměstí;Osek,zbrojnice;0.5;60
Hamr,škola;Hamr,sídliště;0.5;60
Litvínov,Citadela;Litvínov,3.ZŠ;0.5;60
Loučná,konečná;Osek,autokempink;0.5;60
Sever;Okresní soud;0.509090909;12
H.Jiřetín,požární zbrojnice;H.Jiřetín, P.Holého;0.509433962;14
H.Jiřetín,pošta;H.Jiřetín,pekařství;0.512820513;14
Halasova;Městský hřbitov;0.513513514;16
Rudolická,MUS;Pod Lajsníkem;0.513636364;30
Luna;J.Skupy;0.516853933;30
Pod Lajsníkem;Krym;0.51980198;30
Most,TESCO;Most,Chomutovská;0.52173913;3
H.Jiřetín, P.Holého;H.Jiřetín,u nádraží;0.52173913;14
Litvínov,Krušnohor;Litvínov,Máj,věžové domy;0.523809524;15
Osada Poslušnost;Janov,horní část;0.525;13
Litvínov,náměstí Míru;Litvínov,nádraží;0.525;14
Pod Lajsníkem;Rudolická,MUS;0.531400966;30
Janov,horní část;Janov,sportovní hala;0.531914894;13
Havraň,škola;Havraň,Nemak;0.538461538;31
Litvínov,Janáčkova;Hamr,škola;0.538461538;60
Sukova,blok 558;Krym;0.540669856;30
Litvínov,Chudeřín;Litvínov,Janáčkova;0.545454545;60
Litvínov,nádraží;Litvínov,Bílý sloup;0.545454545;60
Meziboří,stadion;Meziboří,sanatorium;0.552631579;23
Čepirohy,závodní klub;Velebudice,rozcestí;0.555555556;31
Hamr,sídliště;Hamr;0.558139535;14
Osek,Národní dům;Osek,autokempink;0.56097561;13
Komořany,KSK;Komořany,tábor 7;0.563380282;12
Janov,blok D3;Janov,sportovní hala;0.564971751;13
Hamr,sídliště;Hamr,škola;0.565217391;14
Sedlec,pivovar;Sedlec,obec;0.571428571;10
Čs.mládeže;Dopravní podnik;0.571428571;31
Loučná;Horní Lom;0.584158416;13
Nádraží;Sever;0.58490566;12
Janov,škola;Janov,blok D3;0.588785047;15
Záluží,Důl Julius IV;Záluží,Zdravotní středisko;0.590909091;1
Most,Dopravní podnik;Most,Čs.mládeže;0.591836735;2
Most,nádraží;Most,TESCO;0.6;40
Hamr,škola;Hamr,sídliště;0.6;60
Janov,Krušnohor;Janov,škola;0.604651163;15
Most,zimní stadion;Most,sportovní hala;0.606382979;2
Sukova,blok 508;Okresní soud;0.608108108;5
Litvínov,požární stanice;Litvínov,Krušnohor;0.609756098;15
Most,sportovní hala;Most,obchodní dům PRIOR;0.612440191;2
Litvínov,Jiráskova;Litvínov,nádraží;0.615384615;8
Most,obchodní dům PRIOR;Most,1. náměstí;0.61722488;2
Litvínov,Máj,věžové domy;Litvínov,Krušnohor;0.622222222;15
Most,rozcestí Kopisty;Záluží,Důl Julius IV;0.625;1
Most,nádraží;Most,TESCO;0.625;3
Vtelenská;18.ZŠ;0.625;5
Most,Souš;Most,Chomutovská;0.625;40
Rudolice,u mostu;Rudolice,náměstí;0.633333333;10
Most,zimní stadion;Most,Souš;0.636363636;1
Litvínov,Janáčkova;Hamr,škola;0.642857143;15
D.Jiřetín,odb.Centrum;Záluží,CHEMOPETROL;0.642857143;28
Souš,Finské domky;Souš,Národního odboje;0.647058824;22
Litvínov,Chudeřín;Litvínov,Janáčkova;0.65;60
Litvínov,Máj;Litvínov,náměstí Míru;0.659517426;13
Most,1. náměstí;Most,obchodní dům PRIOR;0.666666667;1
Osek,zbrojnice;Osek,kolonie;0.666666667;13
14.ZŠ;Kahan;0.666666667;50
Hamr,sídliště;Hamr,škola;0.666666667;60
Meziboří,sanatorium;Meziboří,radnice;0.669642857;23
Široký vrch;Pod Resslem;0.670454545;20
Sportovní hala;Obchodní dům PRIOR;0.671111111;17
Most,čistící stanice;Rudolice,u mostu;0.672131148;10
Záluží,CHEMOPETROL;Záluží,Petrochemie;0.676;4
Třebušice,DTS Vrbenský;Souš,Vrbenský I;0.677419355;12
Litvínov,Bílý sloup;Litvínov,požární stanice;0.681506849;13
Litvínov,stadion;Litvínov,Technické služby;0.681818182;3
Nádraží;Rudolická,MUS;0.687747036;5
Rudolice,rozcestí;Most,čistící stanice;0.689655172;10
Most,sídliště ČD;Most,rozcestí Kopisty;0.692307692;3
Lom,Horní Lom,rozcestí;Lom,Geologický průzkum;0.7;13
Sukova,blok 501;Krym;0.701754386;5
Rudolice,u mostu;Most,čistící stanice;0.705882353;10
Komořany;Komořany,hradlo;0.722222222;12
Janov,blok D3;Janov,sportovní hala;0.736842105;15
Kahan;Aquadrom;0.7421875;30
Litvínov,náměstí Míru;Litvínov,nádraží;0.747795414;13
Most,Čs.mládeže;Most,Dopravní podnik;0.75;40
Litvínov,Bílý sloup;Litvínov,nádraží;0.756097561;13
Litvínov,stadion;Litvínov,Technické služby;0.76;1
Okresní soud;Obchodní dům PRIOR;0.760416667;16
Souš,Vrbenský I;Souš,Matylda;0.764705882;12
Benedikt;Zázvorová;0.769230769;5
Souš,Matylda;Souš,Národního odboje;0.769230769;12
Muzeum;Gymnázium;0.791666667;20
Lom,Geologický průzkum;Lom,škola;0.793103448;13
1.ZŠ;Pod Resslem;0.793103448;17
Most,sportovní hala;Most,zimní stadion;0.794759825;2
Pod Resslem;Nemocnice;0.798882682;20
Most,1. náměstí;Most,obchodní dům PRIOR;0.8;40
Obchodní dům PRIOR;1.náměstí;0.803030303;16
Krym;Pod Lajsníkem;0.810126582;30
Kahan;14.ZŠ;0.816239316;30
Litvínov,náměstí Míru;Litvínov,nádraží;0.818181818;60
Ovocné sady;Velebudice,škola;0.826446281;25
Litvínov,u dílen;Litvínov,stadion;0.833333333;3
Hamr;Janov,pekárny;0.833333333;14
Okresní soud;Obchodní dům PRIOR;0.833333333;31
Zimní stadion;RICO;0.836065574;16
Benedikt;Ovocné sady;0.837563452;25
Most,Severografia;Most,Dopravní podnik;0.84;1
Velebudice,rozcestí;Dopravní podnik;0.840909091;31
Osek,náměstí;Osek,autokempink;0.846153846;13
Okresní soud;Sukova,blok 508;0.848101266;20
Litvínov,Janáčkova;Hamr,škola;0.848837209;13
Záluží,Zdravotní středisko;Záluží,Důl Julius IV;0.857142857;3
Most,rozcestí Kopisty;Most,sídliště ČD;0.857142857;40
Janov,sportovní hala;Janov,Krušnohor;0.862068966;15
Zahražany;Gymnázium;0.864583333;17
Pod Lajsníkem;Krym;0.866666667;5
Hamr,sídliště;Hamr,škola;0.868421053;15
Za Krematoriem;Tenisové kurty;0.872340426;16
Hamr;Janov,škola;0.872389791;13
Litvínov,Máj,věžové domy;Litvínov,náměstí Míru;0.875;27
Litvínov,poliklinika;Litvínov,Technické služby;0.897196262;4
Záluží,Petrochemie;Záluží,areál Hlubina;0.9;40
Záluží,Důl Julius IV;Most,rozcestí Kopisty;0.923076923;1
Horní Lom;Loučná;0.923076923;60
Zázvorová;Vtelenská;0.928571429;5
Kahan;Aquadrom;0.929824561;25
Most,sportovní hala;Most,zimní stadion;0.930909091;4
Most,zimní stadion;Most,Souš;0.94047619;4
Meziboří,penziony;Meziboří,kulturní dům;0.944827586;23
Most,obchodní dům PRIOR;Most,sportovní hala;0.945945946;4
Pod Lajsníkem;Rudolická,MUS;0.952380952;20
Most,zimní stadion;Most,sportovní hala;0.968888889;4
Litvínov,u dílen;Litvínov,stadion;0.976744186;4
Litvínov,náměstí Míru;Litvínov,nádraží;0.97815534;13
Most,Severografia;Most,Velebudická;0.991071429;2
Most,Velebudická;Most,Velebudická škola;1;1
Litvínov,nádraží;Litvínov,Báňské stavby;1;3
Most,rozcestí Kopisty;Záluží,Důl Julius IV;1;3
Záluží,areál Hlubina;Litvínov,Báňské stavby;1;3
Speciální škola;Nádraží;1;10
Kahan;Zd.Štěpánka;1;12
Lom,Červený kříž;Lom,náměstí;1;13
1.náměstí;Obchodní dům PRIOR;1;17
Souš,Tvrzova;Autodrom;1;22
Most,zimní stadion;Most,sportovní hala;1;40
Most,sportovní hala;Most,zimní stadion;1;40
Aquadrom;10.ZŠ;1;51
Litvínov,Citadela;Litvínov,sportovní škola;1;60
Osek,autokempink;Osek,náměstí;1;60
Litvínov,Máj,věžové domy;Litvínov,náměstí Míru;1.005102041;14
Souš,Národního odboje;Souš,Tvrzova;1.025974026;22
Most,sídliště ČD;Most,rozcestí Kopisty;1.029411765;1
Litvínov,Partyzán;Litvínov,poliklinika;1.040816327;23
Litvínov,Krušnohor;Litvínov,Máj,věžové domy;1.045454545;14
Litvínov,Technické služby;Litvínov,poliklinika;1.046875;4
Zázvorová;Vtelenská;1.05;5
Sever;Okresní soud;1.05;16
Most,Souš;Most,sídliště ČD;1.065934066;4
Meziboří,kulturní dům;Meziboří,stadion;1.070707071;23
Litvínov,náměstí Míru;Litvínov,Máj,věžové domy;1.096774194;15
Litvínov,stadion;Litvínov,Technické služby;1.097087379;4
Hamr;Hamr,sídliště;1.1;15
Velebudice,škola;Ovocné sady;1.1;25
Litvínov,Báňské stavby;Záluží,areál Hlubina;1.105263158;3
Okresní soud;Sukova,blok 508;1.105263158;22
Okresní soud;Obchodní dům PRIOR;1.108695652;12
Most,zimní stadion;Most,TESCO;1.111111111;40
Horní Lom;Litvínov,Koldům;1.12244898;13
Dům peněžnictví;Aquadrom;1.125;53
Hamr;Janov,škola;1.133333333;15
Litvínov,Chudeřín;Litvínov,požární stanice;1.133333333;15
Souš,Finské domky;Souš,Národního odboje;1.136363636;12
Osek,Národní dům;Osek,Hrdlovská;1.136363636;13
Lom,náměstí;Lom,městský hřbitov;1.137254902;13
Litvínov,poliklinika;Litvínov,obchodní dům;1.137440758;4
1.náměstí;Halasova;1.142857143;16
Litvínov,náměstí Míru;Litvínov,nádraží;1.155172414;15
Ovocné sady;Benedikt;1.158878505;25
Most,zimní stadion;Most,sportovní hala;1.172043011;2
Litvínov,požární stanice;Litvínov,Chudeřín;1.182795699;13
Most,nádraží;Most,TESCO;1.196078431;2
Litvínov,obchodní dům;Litvínov,nádraží;1.200729927;4
Černice,mlékárna;H.Jiřetín,u nádraží;1.214285714;14
Autodrom;Pod Resslem;1.25;22
Janov,blok D3;Janov,sportovní hala;1.25;60
Most,rozcestí Kopisty;Záluží,Důl Julius IV;1.264705882;4
Nemocnice;1.ZŠ;1.281437126;30
Tenisové kurty;Průběžná;1.304347826;16
Aquadrom;Kahan;1.326815642;30
Most,sídliště ČD;Most,rozcestí Kopisty;1.330188679;4
Průběžná;Pod Městským hřbitovem;1.333333333;16
H.Jiřetín, P.Holého;H.Jiřetín,požární zbrojnice;1.333333333;28
1.náměstí;Halasova;1.358381503;16
D.Jiřetín,odb.Centrum;D.Jiřetín,hornická kolonie;1.363636364;12
Litvínov,Janáčkova;Litvínov,Chudeřín;1.367088608;13
Litvínov,Máj;Litvínov,mototechna;1.375;60
Meziboří,městský úřad;Meziboří,penziony;1.382978723;23
Jezero Most;Kostelní hřbitov;1.4;16
Hamr,sídliště;Hamr;1.424242424;15
Litvínov,Máj,věžové domy;Litvínov,náměstí Míru;1.43220339;15
Staré krematorium;Nové krematorium;1.474576271;16
Litvínov,Citadela;Litvínov,u dílen;1.5;1
Most,sídliště ČD;Most,Souš;1.5;40
Janov,škola;Janov,blok D3;1.5;60
Aquadrom;Kahan;1.523809524;25
Záluží,CHEMOPETROL;D.Jiřetín,odb.Centrum;1.542857143;12
Litvínov,Chudeřín;Litvínov,Janáčkova;1.549019608;13
Litvínov,požární stanice;Litvínov,Krušnohor;1.593220339;14
Litvínov,poliklinika;Litvínov,obchodní dům;1.6;3
Záluží,areál Hlubina;Litvínov,Báňské stavby;1.615384615;1
Hamr;Janov,pekárny;1.615384615;14
Most,1. náměstí;Most,obchodní dům PRIOR;1.64;4
Litvínov,Chudeřín;Litvínov,Janáčkova;1.666666667;15
Děkanský kostel;RICO;1.666666667;16
Litvínov,Chudeřín;Litvínov,požární stanice;1.670588235;13
Pod Resslem;1.ZŠ;1.684210526;12
Osek,Hrdlovská;Osek,autokempink;1.689655172;13
Litvínov,sportovní škola;Litvínov,mototechna;1.714285714;60
Janov,konečná;Janov,sportovní hala;1.715277778;13
Záluží,Petrochemie;Záluží,areál Hlubina;1.729323308;4
Most,rozcestí Kopisty;Most,sídliště ČD;1.777777778;3
Velebudice,škola;Speciální škola;1.8;10
Litvínov,Báňské stavby;Litvínov,nádraží;1.819047619;4
Janov,škola;Janov,blok D3;1.85483871;13
Vtelno;Benedikt;1.942857143;25
Janov,sportovní hala;Janov,blok D3;1.943396226;13
Janov,škola;Hamr;1.947368421;13
Záluží,areál Hlubina;Záluží,CHEMOPETROL;2;40
Krym;Pod Lajsníkem;2;53
Rudolická,MUS;Nádraží;2;53
Osek,náměstí;Osek,zbrojnice;2;60
H.Jiřetín,rozcestí;Janov;2.015873016;14
Osek,náměstí;Osek,Národní dům;2.054054054;13
Hamr;Hamr,sídliště;2.064516129;13
Záluží,areál Hlubina;Litvínov,Báňské stavby;2.087209302;4
Litvínov,Citadela;Litvínov,u dílen;2.2;4
D.Jiřetín,odb.Centrum;Záluží,CHEMOPETROL;2.2;12
Hamr,sídliště;Hamr,škola;2.2;13
Litvínov,požární stanice;Litvínov,Bílý sloup;2.255681818;13
Most,sportovní hala;Most,obchodní dům PRIOR;2.28;4
Most,Dopravní podnik;Most,Čs.mládeže;2.285714286;1
Janov;Janov,pekárny;2.384615385;14
Záluží,Petrochemie;Záluží,CHEMOPETROL;2.387755102;4
Janov,blok D3;Janov,škola;2.41025641;13
Osek,kolonie;Osek,zbrojnice;2.5;13
Skršín;Skršín,Chrámce;2.6;10
Rudolická,MUS;Rudolice,rozcestí;2.666666667;53
Záluží,areál Hlubina;Záluží,Petrochemie;2.714285714;3
TESCO;Nádraží;2.8;16
Zimní stadion;TESCO;2.875;16
Litvínov,průmyslová zóna;Litvínov,Jiráskova;3;8
Záluží,CHEMOPETROL;Záluží,Zdravotní středisko;3.047619048;3
Kostelní hřbitov;Děkanský kostel;3.08;16
D.Jiřetín,rozcestí;D.Jiřetín,odb.Centrum;3.166666667;12
Sedlec,obec;Korozluky,obecní úřad;3.230769231;10
Litvínov,3.ZŠ;Litvínov,Citadela;3.230769231;60
Litvínov,nádraží;Litvínov,náměstí Míru;3.5;60
Litvínov,požární stanice;Litvínov,Bílý sloup;3.666666667;60
Janov,pekárny;Hamr;3.714285714;14
Záluží, CHEMOPETROL;D.Jiřetín,odb.Centrum;3.780821918;12
Janov,blok D3;Janov,sportovní hala;4;60
Loučná;Loučná,konečná;4;60
Děkanský kostel;Kostelní hřbitov;4.214285714;16
Halasova;1.náměstí;4.533333333;25
Most,Velebudická škola;;;1
Most,Velebudická škola;;;2
Litvínov,Citadela;;;3
Ovocné sady;;;5
Čepirohy,okály;;;9
Skršín,Chrámce;;;10
Zd.Štěpánka;;;12
Souš,Finské domky;;;12
Sukova,blok 558;;;12
Horní Lom;;;13
Lom,Horní Lom,rozcestí;;;13
Černice,mlékárna;;;14
Černice, mlékárna;;;14
1.náměstí;;;17
Gymnázium;;;17
Pod Resslem;;;17
Litvínov,Chudeřín;;;21
Litvínov,Janáčkova;;;21
Litvínov,požární stanice;;;21
Litvínov,Bílý sloup;;;21
Litvínov,Citadela;;;21
Litvínov,Krušnohor;;;21
Litvínov,Máj;;;21
Litvínov,mototechna;;;21
Janov,škola;;;21
Loučná,konečná;;;21
Meziboří,městský úřad;;;23
Velebudická;;;25
Obrnice,odb.Vtelno;;;25
Bylany,DOMES;;;31
Litvínov,Citadela;;;40
Most,Chomutovská;;;40
Most,Chomutovská;;;40
Most,Velebudická;;;40
Most,Velebudická škola;;;40
1.náměstí;;;50
Sportovní hala;;;50
Speciální škola;;;50
Nové krematorium;;;51
Za Krematoriem;;;51
Čepirohy,okály;;;51
Čepirohy,okály;;;51
Aquadrom;;;53
Rudolice,náměstí;;;53
Vtelno;;;53
Zázvorová;;;53
Sukova,blok 558;;;53
Litvínov,Krušnohor;;;60
Osek,Národní dům;;;60
Litvínov,3.ZŠ;;;60
Litvínov,Koldům;;;60
Litvínov,Krušnohor;;;60
Osek,Národní dům;;;60
Janov,konečná;;;60
Osek,Hrdlovská;;;60
Janov,sportovní hala;;;60
Janov,sportovní hala;;;60
Litvínov,Máj;;;60
Litvínov,Máj;;;60
Litvínov,Máj,věžové domy;;;60
Litvínov,Máj,věžové domy;;;60
